,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject,csv_path,demo_demo_accuracy,demo_arrow_correct,encoding_arrow_accuracy,testing_longest_response_strike,not_too_slow,not_too_Fast,sufficient_test_acc,UPDATE-completed memory rep
0,3OREP8RUU7H16V2BVHMCXUZLOEPGBV,37C200XS3DE8AWP6N9NURDDJFTOCTJ,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Mon Dec 12 07:06:48 PST 2022,40,BatchId:4964386;OriginalHitTemplateId:920937340;,3600,259200,Mon Dec 19 07:06:48 PST 2022,,,31JLPPHS200NHXDQU9PF8461F61O31,A87D3K9YVKTQ7,Submitted,Mon Dec 12 07:08:34 PST 2022,Mon Dec 12 07:23:45 PST 2022,Thu Dec 15 07:23:45 PST 2022,,,,911,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A87D3K9YVKTQ7_2022-12-12_10h15.11.273.csv,True,True,True,True,True,True,True,1
1,3OREP8RUU7H16V2BVHMCXUZLOEPGBV,37C200XS3DE8AWP6N9NURDDJFTOCTJ,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Mon Dec 12 07:06:48 PST 2022,40,BatchId:4964386;OriginalHitTemplateId:920937340;,3600,259200,Mon Dec 19 07:06:48 PST 2022,,,31JLPPHS200NHXDQU9PF8461F623OH,A3HFB277V5OXY0,Submitted,Mon Dec 12 07:08:35 PST 2022,Mon Dec 12 07:33:03 PST 2022,Thu Dec 15 07:33:03 PST 2022,,,,1468,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A3HFB277V5OXY0_2022-12-12_10h12.20.926.csv,True,True,True,True,False,False,False,1
2,3OREP8RUU7H16V2BVHMCXUZLOEPGBV,37C200XS3DE8AWP6N9NURDDJFTOCTJ,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Mon Dec 12 07:06:48 PST 2022,40,BatchId:4964386;OriginalHitTemplateId:920937340;,3600,259200,Mon Dec 19 07:06:48 PST 2022,,,32N49TQG3MOIR2L840Q3Q4EFH9QVA6,AM5TNXTHWN6PZ,Submitted,Mon Dec 12 08:12:24 PST 2022,Mon Dec 12 08:47:58 PST 2022,Thu Dec 15 08:47:58 PST 2022,,,,2134,0% (0/0),0% (0/0),0% (0/0),tjs,,no results file was found on pavlovia servers,,,,,,,,,1
3,3OREP8RUU7H16V2BVHMCXUZLOEPGBV,37C200XS3DE8AWP6N9NURDDJFTOCTJ,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Mon Dec 12 07:06:48 PST 2022,40,BatchId:4964386;OriginalHitTemplateId:920937340;,3600,259200,Mon Dec 19 07:06:48 PST 2022,,,339ANSOTRB8JH9AUHK495TRHEJOKID,A177M9OIBDUWFW,Submitted,Mon Dec 12 07:11:05 PST 2022,Mon Dec 12 07:31:11 PST 2022,Thu Dec 15 07:31:11 PST 2022,,,,1206,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A177M9OIBDUWFW_2022-12-12_10h21.40.131.csv,True,True,True,True,True,True,True,1
4,3OREP8RUU7H16V2BVHMCXUZLOEPGBV,37C200XS3DE8AWP6N9NURDDJFTOCTJ,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Mon Dec 12 07:06:48 PST 2022,40,BatchId:4964386;OriginalHitTemplateId:920937340;,3600,259200,Mon Dec 19 07:06:48 PST 2022,,,33IZTU6J877EVNCXLFDCZP56JQ5SX2,AHZP05WVFXXCG,Submitted,Mon Dec 12 08:09:08 PST 2022,Mon Dec 12 08:30:18 PST 2022,Thu Dec 15 08:30:18 PST 2022,,,,1270,0% (0/0),0% (0/0),0% (0/0),tjs,x,,AHZP05WVFXXCG_2022-12-12_11h20.48.549.csv,False,True,True,True,True,True,True,1
5,3OREP8RUU7H16V2BVHMCXUZLOEPGBV,37C200XS3DE8AWP6N9NURDDJFTOCTJ,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Mon Dec 12 07:06:48 PST 2022,40,BatchId:4964386;OriginalHitTemplateId:920937340;,3600,259200,Mon Dec 19 07:06:48 PST 2022,,,33NF62TLXP8FCKU0Z2P9HU6HRYDKJP,A389RPZ5TJZQ7D,Submitted,Mon Dec 12 07:08:35 PST 2022,Mon Dec 12 07:25:16 PST 2022,Thu Dec 15 07:25:16 PST 2022,,,,1001,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A389RPZ5TJZQ7D_2022-12-12_10h12.54.952.csv,True,True,True,True,True,True,True,1
6,3OREP8RUU7H16V2BVHMCXUZLOEPGBV,37C200XS3DE8AWP6N9NURDDJFTOCTJ,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Mon Dec 12 07:06:48 PST 2022,40,BatchId:4964386;OriginalHitTemplateId:920937340;,3600,259200,Mon Dec 19 07:06:48 PST 2022,,,34BBWHLWHGHAC94B6YNCT4LC1QXIW7,A1UKGV9F0QODK0,Submitted,Mon Dec 12 07:08:35 PST 2022,Mon Dec 12 07:29:43 PST 2022,Thu Dec 15 07:29:43 PST 2022,,,,1268,0% (0/0),0% (0/0),0% (0/0),tjs,,no results file was found on pavlovia servers,,,,,,,,,1
7,3OREP8RUU7H16V2BVHMCXUZLOEPGBV,37C200XS3DE8AWP6N9NURDDJFTOCTJ,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Mon Dec 12 07:06:48 PST 2022,40,BatchId:4964386;OriginalHitTemplateId:920937340;,3600,259200,Mon Dec 19 07:06:48 PST 2022,,,34Q075JO13J64D7S5K9LUAVMJJ801W,AIXO7JFFSBR5O,Submitted,Mon Dec 12 08:49:05 PST 2022,Mon Dec 12 09:04:57 PST 2022,Thu Dec 15 09:04:57 PST 2022,,,,952,0% (0/0),0% (0/0),0% (0/0),tjs,x,,AIXO7JFFSBR5O_2022-12-12_11h49.52.553.csv,True,True,True,True,True,True,True,1
8,3OREP8RUU7H16V2BVHMCXUZLOEPGBV,37C200XS3DE8AWP6N9NURDDJFTOCTJ,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Mon Dec 12 07:06:48 PST 2022,40,BatchId:4964386;OriginalHitTemplateId:920937340;,3600,259200,Mon Dec 19 07:06:48 PST 2022,,,34S6N1K2Z1PU5KHSW2YPKH3H36ELHO,A2TTYORXHJ7I23,Submitted,Mon Dec 12 09:09:23 PST 2022,Mon Dec 12 10:07:09 PST 2022,Thu Dec 15 10:07:09 PST 2022,,,,3466,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A2TTYORXHJ7I23_2022-12-12_09h43.50.224.csv,True,True,True,True,False,True,True,1
9,3OREP8RUU7H16V2BVHMCXUZLOEPGBV,37C200XS3DE8AWP6N9NURDDJFTOCTJ,Visual memory task,A short memory task in which you will be requested to recognize images that have been shown during the experiment,"memory task, visual, encoding",$2.00,Mon Dec 12 07:06:48 PST 2022,40,BatchId:4964386;OriginalHitTemplateId:920937340;,3600,259200,Mon Dec 19 07:06:48 PST 2022,,,35H6S234SG6066UQ8WRE61IU83E561,A3SFP9VSFJY2YW,Submitted,Mon Dec 12 08:36:06 PST 2022,Mon Dec 12 09:15:32 PST 2022,Thu Dec 15 09:15:32 PST 2022,,,,2366,0% (0/0),0% (0/0),0% (0/0),tjs,x,,A3SFP9VSFJY2YW_2022-12-12_12h07.08.411.csv,True,True,True,True,True,True,True,1
